ref,species,yearstart,locality,dist_to_shore
applebaum1982,lampanyctus photonotus,1979,sargasso sea,1095941.032270382
applebaum1982,lobianchia gemellarii,1979,sargasso sea,1095941.032270382
applebaum1982,notoscopelus kroyeri,1979,sargasso sea,1095941.032270382
badouvas2024,benthosema glaciale,2018,mediterranean,12820.774331441035
badouvas2024,myctophum punctatum,2018,mediterranean,12820.774331441035
badouvas2024,ceratoscopelus maderensis,2018,mediterranean,12820.774331441035
badouvas2024,notoscopelus elongatus,2018,mediterranean,12820.774331441035
baird1975,diaphus taaningi,1972,cariaco trench,38268.95850716339
battaglia2014,diaphus metopoclampus,2010,mediterranean,17555.268995485276
battaglia2016,electrona risso,2012,mediterranean,18245.469073991302
bernal2013,lampanyctus pusillus,2009,mediterranean,32800.01115399246
bernal2015,benthosema glaciale,2009,mediterranean,32800.01115399246
bernal2015,lobianchia dofleini,2009,mediterranean,32800.01115399246
bernal2015,hygophum hygomii,2009,mediterranean,32800.01115399246
bernal2015,hygophum benoiti,2009,mediterranean,32800.01115399246
bernal2015,ceratoscopelus maderensis,2009,mediterranean,32800.01115399246
bernal2015,lampanyctus pusillus,2009,mediterranean,32800.01115399246
bernal2015,myctophum punctatum,2009,mediterranean,32800.01115399246
bernal2015,notoscopelus elongatus,2009,mediterranean,32800.01115399246
bernal2015,lampanyctus crocodilus,2009,mediterranean,32800.01115399246
bernal2020,ceratoscopelus warmingii,2015,indonesia,1768098.1747436284
bernal2020,symbolophorus evermanni,2015,indonesia,1768098.1747436284
bernal2020,diaphus effulgens,2015,indonesia,1768098.1747436284
bosley2004,diaphus theta,2001,us,37751.69842818159
bosley2004,stenobrachius leucopsarus,2001,us pacific,37751.69842818159
cailliet1990,stenobrachius leucopsarus,1964,us,187541.4196935883
carlo1982,hygophum benoiti,1972,mediterranean,18245.469073991302
carlo1982,myctophum punctatum,1972,mediterranean,18245.469073991302
chen2022,diaphus splendidus,2020,south china sea,143898.49346695942
clarke1978,notolychnus valdiviae,1973,hawaii,18647.678197663554
clarke1978,benthosema suborbitale,1973,hawaii,18647.678197663554
clarke1978,hygophum proximum,1973,hawaii,18647.678197663554
clarke1978,triphoturus nigrescens,1973,hawaii,18647.678197663554
clarke1978,diaphus schmidti,1973,hawaii,18647.678197663554
clarke1978,lampanyctus steinbecki,1973,hawaii,18647.678197663554
clarke1978,bolinichthys longipes,1973,hawaii,18647.678197663554
clarke1978,ceratoscopelus warmingii,1973,hawaii,18647.678197663554
clarke1978,lampanyctus nobilis,1973,hawaii,18647.678197663554
clarke1978,lampanyctus niger,1973,hawaii,18647.678197663554
clarke1980,diogenichthys atlanticus,1973,hawaii,17276.82853376355
clarke1980,notolychnus valdiviae,1973,hawaii,17276.82853376355
clarke1980,benthosema suborbitale,1973,hawaii,17276.82853376355
clarke1980,triphoturus nigrescens,1973,hawaii,17276.82853376355
clarke1980,diaphus schmidti,1973,hawaii,17276.82853376355
clarke1980,diaphus fragilis,1973,hawaii,17276.82853376355
clarke1980,bolinichthys longipes,1973,hawaii,17276.82853376355
clarke1980,diaphus trachops,1973,hawaii,17276.82853376355
clarke1980,lampanyctus steinbecki,1973,hawaii,17276.82853376355
clarke1980,diaphus perspicillatus,1973,hawaii,17276.82853376355
clarke1980,ceratoscopelus warmingii,1973,hawaii,17276.82853376355
clarke1980,lampanyctus nobilis,1973,hawaii,17276.82853376355
cohen2021,myctophum asperum,2018,australia,69319.60967366354
collard1970,myctophum spinosum,1963,NA,233111.41336115613
collard1970,stenobrachius leucopsarus,1963,NA,17576.661083621806
collard1970,parvilux ingens,1963,temperate pacific,156822.00857567636
collard1970,ceratoscopelus townsendi,1963,tropical pacific,1885199.1738523485
collard1970,diaphus coeruleus,1963,tropical pacific,233111.41336115613
collard1970,diaphus elucens,1963,tropical pacific,233111.41336115613
collard1970,diaphus sp.,1963,tropical pacific,233111.41336115613
collard1970,diaphus theta,1963,temperate pacific,241177.40091043923
collard1970,diogenichthys laternatus,1963,temperate pacific,37912.37727950292
collard1970,protomyctophum anderssoni,1963,southern ocean,1198388.568228946
collard1970,lampanyctus australis,1963,NA,31618.18542994467
collard1970,lampanyctus macropterus,1963,tropical pacific,233111.41336115613
collard1970,lampanyctus regalis,1963,temperate pacific,38235.4553311919
collard1970,lampanyctus ritteri,1963,NA,50393.68735041729
collard1970,myctophum aurolaternatum,1963,tropical pacific,233111.41336115613
collard1970,symbolophorus californiensis,1963,temperate pacific,142720.8709140194
collard1970,tarletonbeania crenularis,1963,temperate pacific,50393.68735041729
collard1970,triphoturus mexicanus,1963,NA,4423.554110726312
