count,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
246,"E.J., Miller, Elanor J.; C., Lalas, Chris; S.M., Dawson, Steve Michael; H., Ratz, Hiltrun; E., Slooten, Elisabeth","Miller, Elanor J. (57201466784); Lalas, Chris (55951650700); Dawson, Steve Michael (7202901010); Ratz, Hiltrun (7004762546); Slooten, Elisabeth (6603949910)",57201466784; 55951650700; 7202901010; 7004762546; 6603949910,"Hector's dolphin diet: The species, sizes and relative importance of prey eaten by Cephalorhynchus hectori, investigated using stomach content analysis",2013,Marine Mammal Science,29,4,,606,628,0,26,10.1111/j.1748-7692.2012.00594.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885850873&doi=10.1111%2Fj.1748-7692.2012.00594.x&partnerID=40&md5=e784d031ab175bba1e3d767690c69e68,Article,Final,,Scopus,2-s2.0-84885850873
247,"M., Díaz-Santana-Iturrios, Mariana; D.S., Palacios-Salgado, Deivis S.; C.A., Salinas-Zavala, César Augusto","Díaz-Santana-Iturrios, Mariana (57193225996); Palacios-Salgado, Deivis S. (24832178000); Salinas-Zavala, César Augusto (6602550290)",57193225996; 24832178000; 6602550290,"Abundance and distribution of lantern fishes (Myctophiformes: Myctophidae) around San Pedro Martir Island, Gulf of California, during 2008; Distribución y abundancia de peces linterna (Myctophiformes: Myctophidae) alrededor de isla San Pedro Mártir, golfo de California, durante el año 2008",2013,Latin American Journal of Aquatic Research,41,3,,387,394,0,6,10.3856/vol41-issue3-fulltext-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884770665&doi=10.3856%2Fvol41-issue3-fulltext-2&partnerID=40&md5=a3bf93819981186beaf58f54729af23f,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-84884770665
248,"J.E., van Noord, Joel E.","van Noord, Joel E. (55565190100)",55565190100,Diet of five species of the family Myctophidae caught off the Mariana Islands,2013,Ichthyological Research,60,1,,89,92,0,27,10.1007/s10228-012-0315-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872662997&doi=10.1007%2Fs10228-012-0315-x&partnerID=40&md5=a977b6ddf597936fc471efc2b6f2bdb4,Article,Final,,Scopus,2-s2.0-84872662997
249,"M.H., Pinkerton, Matthew Harry; J.S., Forman, Jeffrey S.; S.J., Bury, Sarah Jane; J.C.S., Brown, Julie C.S.; P.L., Horn, Peter L.; R.L., O'Driscoll, Richard L.","Pinkerton, Matthew Harry (7003793212); Forman, Jeffrey S. (7103199098); Bury, Sarah Jane (8652265300); Brown, Julie C.S. (55521321400); Horn, Peter L. (7102146711); O'Driscoll, Richard L. (7003327079)",7003793212; 7103199098; 8652265300; 55521321400; 7102146711; 7003327079,"Diet and trophic niche of Antarctic silverfish Pleuragramma antarcticum in the Ross Sea, Antarctica",2013,Journal of Fish Biology,82,1,,141,164,0,28,10.1111/j.1095-8649.2012.03476.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872608875&doi=10.1111%2Fj.1095-8649.2012.03476.x&partnerID=40&md5=df3ddb9473887fc11cf40b0ef4f6749d,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84872608875
250,"A., Bernal, Ainhoa; M.P., Olivar, M. Pilar; M.L., Fernández de Puelles, María Luz","Bernal, Ainhoa (54911204900); Olivar, M. Pilar (6701404333); Fernández de Puelles, María Luz (6603275221)",54911204900; 6701404333; 6603275221,Feeding patterns of Lampanyctus pusillus (Pisces: Myctophidae) throughout its ontogenetic development,2013,Marine Biology,160,1,,81,95,0,40,10.1007/s00227-012-2064-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871923567&doi=10.1007%2Fs00227-012-2064-9&partnerID=40&md5=e4b034513b650586402b621dc96c46d9,Article,Final,,Scopus,2-s2.0-84871923567
251,"R., Paredes, Rosana; A.M.A., Harding, Ann Marie Aglionby; D.B., Irons, David B.; D.D., Roby, Daniel D.; R.M., Suryan, Robert M.; R.A., Orben, Rachael A.; H.M., Renner, Heather M.; R.C., Young, Rebecca C.; A.S., Kitaysky, Alexander Stanislav","Paredes, Rosana (7007168382); Harding, Ann Marie Aglionby (9336930000); Irons, David B. (7003729364); Roby, Daniel D. (7005596678); Suryan, Robert M. (6602687866); Orben, Rachael A. (55541399200); Renner, Heather M. (9736299600); Young, Rebecca C. (55637839200); Kitaysky, Alexander Stanislav (6602114961)",7007168382; 9336930000; 7003729364; 7005596678; 6602687866; 55541399200; 9736299600; 55637839200; 6602114961,Proximity to multiple foraging habitats enhances seabirds' resilience to local food shortages,2012,Marine Ecology Progress Series,471,,,253,269,0,53,10.3354/meps10034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871734819&doi=10.3354%2Fmeps10034&partnerID=40&md5=cba0247c7fbaca3965124c8b227cc667,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84871734819
252,"K.H., Kock, Karl Hermann; E.R., Barrera-Oro, Esteban R.; M., Belchier, Mark; M.A., Collins, Martin A.; G., Duhamel, Guy; S.M., Hanchet, Stuart M.; L.K., Pshenichnov, Leonid K.; D.C., Welsford, Dirk C.; R.W., Williams, Richard W.","Kock, Karl Hermann (7006460307); Barrera-Oro, Esteban R. (56175611700); Belchier, Mark (6603317757); Collins, Martin A. (7404083794); Duhamel, Guy (7102858141); Hanchet, Stuart M. (6602906712); Pshenichnov, Leonid K. (6504437233); Welsford, Dirk C. (57203509295); Williams, Richard W. (56140901600)",7006460307; 56175611700; 6603317757; 7404083794; 7102858141; 6602906712; 6504437233; 57203509295; 56140901600,The role of fish as predators of krill (Euphausia Superba) and other pelagic resources in the Southern Ocean,2012,CCAMLR Science,19,,,115,169,0,39,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878093600&partnerID=40&md5=2c0ccf86163fad6a0b58e9bc82763cb9,Article,Final,,Scopus,2-s2.0-84878093600
253,"A., Atkinson, Angus; P., Ward, Peter; B.P.V., Hunt, Brian P.V.; E.A., Pakhomov, Evgeny A.; G.W., Hosie, Graham W.","Atkinson, Angus (57203103140); Ward, Peter (7402102122); Hunt, Brian P.V. (7201600414); Pakhomov, Evgeny A. (7006796484); Hosie, Graham W. (7004432729)",57203103140; 7402102122; 7201600414; 7006796484; 7004432729,"An overview of Southern Ocean zooplankton data: Abundance, biomass, feeding and functional relationships",2012,CCAMLR Science,19,,,171,218,0,116,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878045742&partnerID=40&md5=abb56ed6a12cc54334a8164f9452c9aa,Article,Final,,Scopus,2-s2.0-84878045742
254,"A.J., Flynn, Adrian J.; J.R., Paxton, John R.","Flynn, Adrian J. (55013001600); Paxton, John R. (7005717288)",55013001600; 7005717288,Spawning aggregation of the lanternfish Diaphus danae (family Myctophidae) in the north-western Coral Sea and associations with tuna aggregations,2012,Marine and Freshwater Research,63,12,,1255,1271,0,37,10.1071/MF12185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876558654&doi=10.1071%2FMF12185&partnerID=40&md5=be79d7218d19ffe27981ac3613fd4619,Article,Final,,Scopus,2-s2.0-84876558654
255,"L.S., Ponnampalam, Louisa Shobhini; T.J.Q., Collins, Tim J.Q.; G., Minton, Gianna; I.K., Schulz, Isabelle Katharina; H.W.I., Gray, Howard W.I.; R.F.G., Ormond, Rupert F.G.; R.M., Baldwin, Robert M.","Ponnampalam, Louisa Shobhini (36173606400); Collins, Tim J.Q. (12807662100); Minton, Gianna (35739239000); Schulz, Isabelle Katharina (55452762600); Gray, Howard W.I. (55892996600); Ormond, Rupert F.G. (7004091642); Baldwin, Robert M. (35486571300)",36173606400; 12807662100; 35739239000; 55452762600; 55892996600; 7004091642; 35486571300,Stomach contents of small cetaceans stranded along the Sea of Oman and Arabian Sea coasts of the Sultanate of Oman,2012,Journal of the Marine Biological Association of the United Kingdom,92,8,,1699,1710,0,13,10.1017/S0025315411002104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868549882&doi=10.1017%2FS0025315411002104&partnerID=40&md5=541e657be8a9ae5c4a75439bb4617c84,Article,Final,,Scopus,2-s2.0-84868549882
